chapter	module	evidence_id	artifact_role	expected_relative_path	required_fields_or_properties	validation_method	acceptance_rule	page_slot_id	status	notes
ALL	workflow	GLOBAL-CONFIG	冻结配置	config.yaml	schema_version=1.0；analysis_scope=target_pan_gene_family；modules/seed/paths 可追溯	YAML parse + PanFamFlow validate	validate exit=0；配置内容与运行指纹一致	toy-global-config	VERIFIED	examples/toy/config.yaml 已通过 schema validate 并用于全模块实跑。
ALL	workflow	GLOBAL-COMMAND	执行记录	docs/VALIDATION.md	精确命令、工作目录、UTC、exit code、source commit	文本审计 + exit code	命令可复制；exit code=0；commit 与交付口径一致	toy-global-command	DOCUMENTED	验证日期、模块闭包和关键结果已记录；不是独立 run_command.txt。
ALL	workflow	GLOBAL-DAG	DAG	toy_evidence/dag.svg	覆盖请求模块与依赖；无断边	Snakemake dry-run/dag artifact review	所有目标 output 有生产规则；无 missing input	toy-global-dag	NOT_CAPTURED	完整实跑已完成，但本轮未归档 dag.svg；不据此虚构 DAG 文件。
ALL	workflow	GLOBAL-MANIFEST	结果清单	results/report/result_manifest.tsv	relative_path,size_bytes,sha256	逐文件 sha256/存在性核验	所有页面引用产物均列入且哈希一致	toy-global-manifest	VERIFIED	2026-08-19 本地 full toy run 产物存在并纳入工程验收。
ALL	workflow	GLOBAL-LOGS	关键日志	logs/	模块日志、失败堆栈、软件 stdout/stderr	日志路径审计	每个执行模块至少一条成功日志；失败样例有确定错误证据	toy-global-logs	VERIFIED	examples/toy/logs/ 含实际工具与模块日志。
4	family	C4-MEMBERS	关键成员表	results/02_family/family_members.tsv	stable_id/species_id/gene_id/decision/evidence_*；行数>0	schema + uniqueness + cross-file ID	stable_id 唯一；成员与 FASTA 头一致	toy-chapter-4	VERIFIED	2026-08-19 本地 full toy run 产物存在并纳入工程验收。
4	family	C4-REJECTED	拒绝审计	results/02_family/family_candidates_rejected.tsv	candidate ID/rejection_reason	schema + count closure	拒绝理由非空；候选未静默消失	toy-chapter-4	VERIFIED	2026-08-19 本地 full toy run 产物存在并纳入工程验收。
4	phylogeny	C4-TREE	系统树	results/03_phylogeny/family.treefile	Newick；leaf labels=stable_id	Newick parse + leaf set comparison	叶集合与 family_proteins.fa 一致	toy-chapter-4	VERIFIED	2026-08-19 本地 full toy run 产物存在并纳入工程验收。
4	phylogeny	C4-NORMAL	典型正常输出	toy_evidence/ch04_normal/	真实成员表、比对、tree、日志	人工+自动审计	满足本章 QC 清单	toy-chapter-4	VERIFIED_BY_TESTS	对应正常结果或合约由 canonical outputs 与自动测试验证，未重复复制到 toy_evidence。
4	phylogeny	C4-FAIL	典型失败输出	toy_evidence/ch04_failure/	少于 min_sequences 或坏 FASTA 的真实失败日志	断言错误类型/消息	失败可复现且不发布空 tree	toy-chapter-4	TEST_COVERED_NOT_CAPTURED	相关 fail-closed 行为有回归测试；本轮没有把失败日志复制到专用目录。
5	gene_structure	C5-METRICS	结构指标	results/04_gene_structure/gene_structure_metrics.tsv	stable_id/gene_length/cds_length/exon_count/intron_count/structure_qc	schema + arithmetic invariants	exon_count>=1；CDS>0；异常被 flag	toy-chapter-5	VERIFIED	2026-08-19 本地 full toy run 产物存在并纳入工程验收。
5	gene_structure	C5-SUMMARY	描述统计	results/04_gene_structure/gene_structure_summary.tsv	group_field/group_value/metric/n/median/q1/q3	schema + recomputation	从 metrics 重算一致	toy-chapter-5	VERIFIED	2026-08-19 本地 full toy run 产物存在并纳入工程验收。
5	gene_structure	C5-NORMAL	典型正常输出	toy_evidence/ch05_normal/	真实 metrics/summary/XLSX	自动+人工	本章 QC 通过	toy-chapter-5	VERIFIED_BY_TESTS	对应正常结果或合约由 canonical outputs 与自动测试验证，未重复复制到 toy_evidence。
5	gene_structure	C5-FAIL	典型失败输出	toy_evidence/ch05_failure/	损坏 parent-child GFF 的真实日志/flag	复现实验	异常不能被悄然当 PASS	toy-chapter-5	TEST_COVERED_NOT_CAPTURED	相关 fail-closed 行为有回归测试；本轮没有把失败日志复制到专用目录。
6	orthology	C6-ORTHO	OrthoFinder pointer	results/05_orthology/orthofinder_result_dir.txt	非空目录指针与 completion JSON	path exists + result files	指向真实 Results_* 目录	toy-chapter-6	VERIFIED	2026-08-19 本地 full toy run 产物存在并纳入工程验收。
6	pan_family	C6-CLASS	分类表	results/06_pan_family/pan_family_classification.tsv	HOG_ID/hog_node/analysis_scope/species_fraction/pan_family_class/absence_validation_status	schema + thresholds	分析范围与缺失语义正确	toy-chapter-6	VERIFIED	2026-08-19 本地 full toy run 产物存在并纳入工程验收。
6	pan_family	C6-PRESENCE	占有矩阵	results/06_pan_family/family_presence_absence.tsv	HOG_ID + 所有 species columns	matrix audit	列齐全且 0/1 合法	toy-chapter-6	VERIFIED	2026-08-19 本地 full toy run 产物存在并纳入工程验收。
6	pan_family	C6-UNASSIGNED	未分配成员	results/06_pan_family/unassigned_family_members.tsv	stable_id/reason/selected_hog_node	set difference recomputation	差集一致	toy-chapter-6	VERIFIED	2026-08-19 本地 full toy run 产物存在并纳入工程验收。
6	pan_family	C6-RARE	稀疏曲线	results/06_pan_family/pan_family_rarefaction_summary.tsv	n_species/pan/core summaries	recompute from iterations	固定 seed 后确定性一致	toy-chapter-6	VERIFIED	2026-08-19 本地 full toy run 产物存在并纳入工程验收。
6	pan_family	C6-FAIL	旧合约回归与 fail-closed 证据	toy_evidence/ch06_failure/	统一 result pointer 合约；显式 N* 缺失时 fail closed；auto OG fallback 明确标型	Snakemake target run	旧 blocker 不回归；显式节点错误不静默降级为 OG	toy-chapter-6	TEST_COVERED_NOT_CAPTURED	相关 fail-closed 行为有回归测试；本轮没有把失败日志复制到专用目录。
7	chromosome	C7-DIST	定位表	results/07_chromosome/chromosome_distribution.tsv	stable_id/chromosome/start/end/chromosome_length/coordinate_qc	bounds audit	PASS 行不越界	toy-chapter-7	VERIFIED	2026-08-19 本地 full toy run 产物存在并纳入工程验收。
7	chromosome	C7-SUM	染色体统计	results/07_chromosome/chromosome_summary.tsv	species_id/chromosome/gene_count/gene_density_per_mb	recompute	计数/密度可重算	toy-chapter-7	VERIFIED	2026-08-19 本地 full toy run 产物存在并纳入工程验收。
7	chromosome	C7-FIG	定位图	results/07_chromosome/chromosome_distribution.pdf	每物种独立 panel	visual review + file check	不跨物种拼物理坐标	toy-chapter-7	VERIFIED	2026-08-19 本地 full toy run 产物存在并纳入工程验收。
7	chromosome	C7-FAIL	坐标失败样例	toy_evidence/ch07_failure/	UNKNOWN_CHROMOSOME/OUT_OF_RANGE 真实证据	reproduce	错误被 flag	toy-chapter-7	TEST_COVERED_NOT_CAPTURED	相关 fail-closed 行为有回归测试；本轮没有把失败日志复制到专用目录。
8	duplication	C8-MODE	复制模式	results/08_duplication/duplication_mode.tsv	stable_id/species_id/duplication_mode/outgroup/backend	schema + uniqueness	每 stable_id 唯一 mode	toy-chapter-8	VERIFIED	2026-08-19 本地 full toy run 产物存在并纳入工程验收。
8	duplication	C8-PAIR	复制 pair	results/08_duplication/duplication_pairs.tsv	stable_id_1/stable_id_2/duplication_mode	ID audit	pair 两端存在且不自连	toy-chapter-8	VERIFIED	2026-08-19 本地 full toy run 产物存在并纳入工程验收。
8	duplication	C8-FIG	当前聚合图	results/08_duplication/duplication_mode_counts.pdf	aggregate bar	visual review	页面不得称逐物种饼图	toy-chapter-8	VERIFIED	2026-08-19 本地 full toy run 产物存在并纳入工程验收。
8	duplication	C8-FAIL	外群/多模式失败	toy_evidence/ch08_failure/	真实冲突模式或缺外群日志	reproduce	fail closed	toy-chapter-8	TEST_COVERED_NOT_CAPTURED	相关 fail-closed 行为有回归测试；本轮没有把失败日志复制到专用目录。
8	synteny	C8-SYNTENY	未支持证据槽	NONE_CURRENTLY	未来 blocks/anchors/Circos	不存在性审计	未实现前页面持续标 NOT_SUPPORTED	toy-chapter-8	NOT_APPLICABLE	当前能力矩阵明确为 NOT_SUPPORTED；toy 未生成替代物。
9	kaks	C9-PAIRS	Ka/Ks pair 表	results/09_kaks/kaks_pairs.tsv	pair_id/pair_type/group_id/Ka/Ks/Ka_Ks/qc_status/qc_message	schema + numeric/QC audit	失败/饱和/零 Ks 不静默删	toy-chapter-9	VERIFIED	2026-08-19 本地 full toy run 产物存在并纳入工程验收。
9	kaks	C9-CACHE	pair cache	work/09_kaks/pairs/<pair_id>/result.json	pair_signature/qc_status/result	signature audit	相同输入可 resume	toy-chapter-9	VERIFIED	2026-08-19 本地 full toy run 产物存在并纳入工程验收。
9	kaks	C9-FIG	整体分布图	results/09_kaks/kaks_distribution.pdf	真实有效 pair 分组	visual + table linkage	图可由表复核	toy-chapter-9	VERIFIED	2026-08-19 本地 full toy run 产物存在并纳入工程验收。
9	kaks	C9-FAIL	失败 pair	toy_evidence/ch09_failure/	CDS mod3/aligner/calculator 失败真实记录	reproduce	失败记录留在表中	toy-chapter-9	TEST_COVERED_NOT_CAPTURED	相关 fail-closed 行为有回归测试；本轮没有把失败日志复制到专用目录。
10	promoter	C10-COORD	启动子坐标	results/10_promoter/promoter_coordinates.tsv	stable_id/promoter_length/promoter_qc/边界与 overlap 字段	bounds + strand audit	坐标合法且 QC 可解释	toy-chapter-10	VERIFIED	2026-08-19 本地 full toy run 产物存在并纳入工程验收。
10	promoter	C10-HITS	motif hits	results/10_promoter/promoter_elements.tsv	stable_id/element/major_class/subclass/FIMO stats	schema + ID mapping	ID 全映射、版本/阈值可追溯	toy-chapter-10	VERIFIED	2026-08-19 本地 full toy run 产物存在并纳入工程验收。
